"category","word","meaning","example","translation","count"
"topic vocab","Admit (verb)","To allow someone to enter a place.","Only ticket holders were admitted into the event.","Cho vào",0
"topic vocab","Affection (noun)","A gentle feeling of fondness or love.","He showed great affection for his old pet dog.","Tình cảm",0
"topic vocab","Agent (noun)","Someone or something that causes change or has an effect.","Education is a powerful agent of progress.","Tác nhân",0
"topic vocab","Aggravate (verb)","To make a situation worse or more severe.","Scratching the rash will only aggravate it.","Làm trầm trọng thêm",0
"topic vocab","Allocate (verb)","To set aside something for a specific purpose.","The government allocated more funds for disaster relief.","Phân bổ",0
"topic vocab","Attain (verb)","To reach or succeed in achieving something.","She attained fluency in English after two years of practice.","Đạt được",0
"topic vocab","Attribute (noun)","A feature or characteristic of someone or something.","Creativity is a key attribute of successful entrepreneurs.","Đặc điểm",0
"topic vocab","Barrier (noun)","Something that blocks or limits progress or movement.","Language can be a barrier to effective communication.","Rào cản",0
"topic vocab","Barter (verb)","To trade goods or services directly without using money.","They bartered fresh produce for household items.","Trao đổi hàng hóa",0
"topic vocab","Biased (adjective)","Showing unfair preference or prejudice.","The judge was criticized for making a biased decision.","Thiên vị",0
"topic vocab","Boundary (noun)","A line that marks the limits or edges of an area.","They placed signs along the boundary to prevent trespassing.","Ranh giới",0
"topic vocab","Bountiful (adjective)","Existing in large quantities; plentiful or generous.","The farmer celebrated a bountiful apple harvest this year.","Dồi dào",0
"topic vocab","Brief (adjective)","Short in duration or using few words.","She gave a brief update before the meeting ended.","Ngắn gọn",0
"topic vocab","Brisk (adjective)","Quick and energetic in movement or action.","A brisk walk every morning helps him stay fit.","Nhanh nhẹn",0
"topic vocab","Bulk (adjective)","In large size or quantity, often not divided.","Buying rice in bulk is cheaper for our family.","Số lượng lớn",0
"topic vocab","Burden (noun)","Something difficult or heavy to carry or deal with.","Caring for both parents became an emotional burden.","Gánh nặng",0
"topic vocab","Calculate (verb)","To find out a result using numbers or logic.","Please calculate the total cost of the trip.","Tính toán",0
"topic vocab","Camouflage (verb)","To hide by blending in with the surroundings.","The soldier camouflaged himself in the forest environment.","Ngụy trang",0
"topic vocab","Capacity (noun)","The maximum amount something can hold or contain.","The elevator has a weight capacity of 800 kg.","Sức chứa",0
"topic vocab","Capitalize (verb)","To take advantage of a situation or opportunity.","The player capitalized on the defender’s mistake to score.","Tận dụng",0
"topic vocab","Caption (noun)","Text that describes or explains a picture or graphic.","The photo caption explained where it was taken.","Chú thích",0
"topic vocab","Catastrophic (adjective)","Causing great damage or suffering.","The oil spill had catastrophic effects on marine life.","Thảm khốc",0
"topic vocab","Challenge (verb)","To invite someone to compete or to question something.","He challenged me to a game of chess.","Thách thức",0
"topic vocab","Channel (noun)","The physical path through which water flows.","The river flowed through a narrow channel.","Kênh",0
"topic vocab","Chaotic (adjective)","In a state of complete confusion and disorder.","The evacuation was chaotic due to the fire alarm.","Hỗn loạn",0
"topic vocab","Characteristic (noun)","A quality or feature that defines something.","Kindness is one of her strongest characteristics.","Đặc điểm",0
"topic vocab","Chief (noun)","The leader or most important person in a group.","He was promoted to fire chief last year.","Trưởng nhóm",0
"topic vocab","Chronicle (noun)","A record of events in the order they happened.","The book is a chronicle of the Civil War.","Biên niên sử",0
"topic vocab","Clarify (verb)","To make something easier to understand or explain.","Let me clarify what I meant earlier.","Làm rõ",0
"topic vocab","Classify (verb)","To group things based on common features.","The teacher asked us to classify the animals by type.","Phân loại",0
"topic vocab","Cognitive (adjective)","Related to mental processes such as thinking and learning.","The test measures students’ cognitive abilities.","Nhận thức",0
"topic vocab","Cohesion (noun)","The act of sticking or working well together.","Team cohesion is vital in successful projects.","Sự gắn kết",0
"topic vocab","Component (noun)","A part or element of a larger whole.","This chip is an essential component of the circuit.","Thành phần",0
"topic vocab","Comprise (verb)","To include or consist of several parts.","The committee comprises five senior members.","Bao gồm",0
"topic vocab","Consecutive (adjective)","Following one after another without interruption.","She won three consecutive championships.","Liên tiếp",0
"topic vocab","consequence (noun)","A result or effect, often negative, caused by an action.","Failing to study had serious consequences for her exam results.","Hậu quả",0
"topic vocab","conversely (adverb)","Used to express an opposite idea or contrast.","He loves city life; conversely, his brother prefers the countryside.","Ngược lại",0
"topic vocab","debris (noun)","Broken pieces left after something has been destroyed.","After the explosion, debris was scattered everywhere.","Mảnh vỡ",0
"topic vocab","decay (verb)","To slowly break down or deteriorate.","Fruits decay quickly in the summer heat.","Phân hủy",0
"topic vocab","decline (verb)","To gradually become worse or decrease.","The economy declined after the crisis.","Suy giảm",0
"topic vocab","degree (noun)","A level or stage in a process or scale.","There was a high degree of difficulty in the task.","Mức độ",0
"topic vocab","deliberate (verb)","To think about something carefully before deciding.","The board will deliberate before making a final decision.","Cân nhắc",0
"topic vocab","deploy (verb)","To position or arrange for use, often in a strategic way.","The company deployed resources to handle the crisis.","Triển khai",0
"topic vocab","deposit (verb)","To place something somewhere, especially for safekeeping.","She deposited a check into her savings account.","Gửi vào",0
"topic vocab","derive (verb)","To get or obtain something from another source.","The word 'biology' is derived from Greek.","Bắt nguồn từ",0
"topic vocab","deteriorate (verb)","To become worse in condition or quality.","Her vision deteriorated over the years.","Suy yếu",0
"topic vocab","determine (verb)","To decide or control the outcome of something.","The test results will determine your placement.","Quyết định",0
"topic vocab","disaster (noun)","A sudden event causing great damage or hardship.","The earthquake was the worst disaster in decades.","Thảm họa",0
"topic vocab","discriminate (verb)","To treat someone unfairly based on difference.","It is illegal to discriminate based on gender.","Phân biệt đối xử",0
"topic vocab","disrupt (verb)","To interrupt or disturb the normal flow of something.","The construction noise disrupted our class.","Gây rối",0
"topic vocab","dissimilar (adjective)","Not alike or different in nature.","Although twins, their interests are quite dissimilar.","Không giống nhau",0
"topic vocab","distinct (adjective)","Clearly separate or noticeably different.","She speaks with a distinct accent.","Khác biệt",0
"topic vocab","domain (noun)","A specific area of knowledge, control, or interest.","Finance is not my domain of expertise.","Lĩnh vực",0
"topic vocab","duration (noun)","The length of time something continues.","The concert’s duration was over two hours.","Khoảng thời gian",0
"topic vocab","ease (noun)","The state of being comfortable or free from difficulty.","She completed the task with great ease.","Sự dễ dàng",0
"topic vocab","elaborate (verb)","To give more details or explain more clearly.","Can you elaborate on your idea?","Giải thích rõ",0
"topic vocab","eliminate (verb)","To completely remove or get rid of something.","They eliminated unnecessary steps in the process.","Loại bỏ",0
"topic vocab","embrace (verb)","To accept something willingly or enthusiastically.","She embraced the opportunity to study abroad.","Đón nhận",0
"topic vocab","emphasize (verb)","To give special importance or attention to something.","The teacher emphasized the importance of attendance.","Nhấn mạnh",0
"topic vocab","enable (verb)","To make it possible for someone or something to do something.","This app enables users to track their habits.","Cho phép",0
"topic vocab","endanger (verb)","To put someone or something at risk of harm.","Smoking near gas tanks can endanger lives.","Gây nguy hiểm",0
"topic vocab","endeavor (noun)","An earnest attempt to accomplish a goal.","Her scientific endeavor led to a major breakthrough.","Nỗ lực",0
"topic vocab","environment (noun)","The surrounding conditions or natural world influencing something.","He grew up in a creative environment filled with art and music.","Môi trường",0
"topic vocab","era (noun)","A distinct period in history or time.","We live in the digital era where information is instant.","Kỷ nguyên",0
"topic vocab","erupt (verb)","To suddenly release force or energy, especially from the earth.","Mount Fuji could erupt without warning.","Phun trào",0
"topic vocab","essential (adjective)","Absolutely necessary or very important.","Clean water is essential for survival.","Thiết yếu",0
"topic vocab","dry up (phrasal verb) /draɪ ʌp/","To stop speaking due to forgetting what to say.","He completely dried up during his presentation.","Quên lời",0
"topic vocab","explicit (adjective)","Clearly stated without any confusion.","The contract had explicit terms about payment.","Rõ ràng",0
"topic vocab","facet (noun)","One part or aspect of something complex.","Kindness is an important facet of leadership.","Khía cạnh",0
"topic vocab","facilitate (verb)","To make an action or process easier.","The software facilitates quick file sharing.","Tạo điều kiện",0
"topic vocab","faint (adjective)","Barely noticeable or lacking strength.","I heard a faint knock at the door.","Mờ nhạt",0
"topic vocab","feasible (adjective)","Possible and practical to do easily.","Building a bridge here is technically feasible.","Khả thi",0
"topic vocab","figure (noun)","A visual representation such as a diagram or chart.","Please refer to the figure below for details.","Hình minh họa",0
"topic vocab","finance (noun)","The management or study of money and investments.","He works in corporate finance.","Tài chính",0
"topic vocab","flourish (verb)","To grow or develop successfully.","Small businesses flourish in this area.","Phát triển mạnh",0
"topic vocab","fluid (adjective)","Flexible and changing over time.","The team's strategy remains fluid based on market conditions.","Linh hoạt",0
"topic vocab","foremost (adjective)","Most important or first in rank.","She is the foremost expert in her field.","Hàng đầu",0
"topic vocab","fuel (noun)","Something that powers or stimulates an activity.","His anger became fuel for his determination.","Nhiên liệu",0
"topic vocab","fundamental (noun)","A basic and essential principle or element.","Respect is a fundamental of teamwork.","Nguyên tắc cơ bản",0
"topic vocab","gauge (verb)","To estimate or assess the amount or value of something.","He tried to gauge the level of interest in his proposal.","Đo lường",0
"topic vocab","generate (verb)","To produce or bring something into existence.","Their new marketing campaign generated a lot of public interest.","Tạo ra",0
"topic vocab","gorgeous (adjective)","Extremely beautiful or attractive.","She looked absolutely gorgeous in that dress.","Tuyệt đẹp",0
"topic vocab","govern (verb)","To control or direct the actions and policies of a group or country.","The new leader promised to govern fairly.","Cai trị",0
"topic vocab","gradual (adjective)","Happening slowly over time.","There has been a gradual improvement in her health.","Dần dần",0
"topic vocab","grueling (adjective)","Very tiring or demanding.","Training for the triathlon was a grueling experience.","Kiệt sức",0
"topic vocab","guess (verb)","To form an opinion without certain knowledge.","He guessed the correct answer by chance.","Đoán",0
"topic vocab","habitat (noun)","The natural environment where an organism lives.","The forest is a natural habitat for many species.","Môi trường sống",0
"topic vocab","harsh (adjective)","Severe or unpleasant in nature.","The harsh winter took a toll on the crops.","Khắc nghiệt",0
"topic vocab","hence (conjunction)","For this reason or as a result.","He didn’t study, hence he failed the exam.","Do đó",0
"topic vocab","heterogeneous (adjective)","Made up of different kinds or parts.","The classroom was a heterogeneous mix of cultures.","Không đồng nhất",0
"topic vocab","hiatus (noun)","A temporary break or interruption.","After a two-year hiatus, the band went on tour again.","Gián đoạn",0
"topic vocab","hinder (verb)","To make progress difficult.","Poor internet access hindered their ability to work remotely.","Cản trở",0
"topic vocab","hybrid (noun)","Something created from a combination of different elements.","This car is a hybrid of electric and gasoline power.","Lai",0
"topic vocab","hypothesis (noun)","A proposed explanation used as a starting point for further investigation.","They tested the hypothesis in multiple experiments.","Giả thuyết",0
"topic vocab","identical (adjective)","Exactly the same in every detail.","The two shirts were completely identical.","Giống hệt",0
"topic vocab","ignite (verb)","To start a fire or trigger an event.","His speech ignited a heated debate.","Châm ngòi",0
"topic vocab","illusion (noun)","A false appearance or impression.","The magician created the illusion of levitation.","Ảo ảnh",0
"topic vocab","immense (adjective)","Extremely large or great.","The ocean stretches over an immense distance.","Mênh mông",0
"topic vocab","impact (verb)","To strongly affect or influence something.","The new law will impact all small businesses.","Tác động",0
"topic vocab","impasse (noun)","A situation with no possible progress or solution.","The talks ended in an impasse.","Bế tắc",0
"topic vocab","impede (verb)","To slow down or block progress.","Heavy traffic impeded the ambulance’s journey.","Ngăn cản",0
"topic vocab","incessant (adjective)","Continuing without stopping.","The incessant noise made it hard to concentrate.","Không ngừng nghỉ",0
"topic vocab","incident (noun)","An event or occurrence, usually unplanned.","The incident was reported to the authorities.","Sự cố",0
"topic vocab","incoherent (adjective)","Unclear or lacking logical connection.","His argument became incoherent under pressure.","Không mạch lạc",0
"topic vocab","indicate (verb)","To show or suggest something clearly.","All signs indicate that the storm is approaching.","Chỉ ra",0
"topic vocab","indispensable","So important that it cannot be done without.","Water is indispensable for human survival.","Không thể thiếu",0
"topic vocab","inevitable","Certain to happen and impossible to avoid.","With that attitude, failure was inevitable.","Không tránh khỏi",0
"topic vocab","infinite","Without limits or end.","There’s an infinite number of ways to express love.","Vô hạn",0
"topic vocab","influence","The ability to shape or change behavior or outcomes.","Her influence helped me choose my career path.","Ảnh hưởng",0
"topic vocab","infrastructure","The physical and organizational systems supporting a society.","The city invested heavily in modern infrastructure.","Cơ sở hạ tầng",0
"topic vocab","initiate","To begin or set something in motion.","The team initiated the new project last week.","Khởi xướng",0
"topic vocab","intense","Very strong or extreme in force or feeling.","The debate became increasingly intense.","Mãnh liệt",0
"topic vocab","invent","To create something that has not existed before.","He invented a portable solar-powered charger.","Phát minh",0
"topic vocab","jeopardy","The state of being in danger of harm or failure.","The error put the entire project in jeopardy.","Nguy cơ",0
"topic vocab","judicious","Showing good judgment and reason.","She made a judicious decision to delay the launch.","Sáng suốt",0
"topic vocab","justify","To explain or defend something as reasonable.","He tried to justify his actions to the board.","Biện minh",0
"topic vocab","keen","Having a sharp or highly developed sense or interest.","She has a keen interest in photography.","Sắc sảo",0
"topic vocab","key","Very important or essential.","Discipline is a key part of success.","Chủ chốt",0
"topic vocab","kin","Family members or relatives.","She visited her kin in the countryside.","Họ hàng",0
"topic vocab","lacking","Not having enough of something needed.","The plan is lacking key details.","Thiếu",0
"topic vocab","landslide","A collapse of earth or rocks down a slope.","The landslide blocked the highway for hours.","Lở đất",0
"topic vocab","launch","To begin or introduce something new.","They launched the app with great success.","Ra mắt",0
"topic vocab","leading","Most important or in the first position.","She is the leading expert in her field.","Hàng đầu",0
"topic vocab","legitimate","Accepted by law or rules as valid.","He gave a legitimate reason for his absence.","Hợp pháp",0
"topic vocab","levy","To collect a tax or fee officially.","The government will levy a new environmental tax.","Áp thuế",0
"topic vocab","lexicon","The vocabulary of a language or group.","Science has its own complex lexicon.","Từ vựng",0
"topic vocab","likewise","In the same way; also.","She enjoyed the dinner, and he felt likewise.","Tương tự",0
"topic vocab","link","A connection between things or ideas.","There’s a strong link between stress and illness.","Liên kết",0
"topic vocab","lobby","To try to influence decisions by authorities.","They lobbied the government for stricter laws.","Vận động hành lang",0
"topic vocab","luxury","A state of great comfort and wealth.","They stayed in a luxury resort by the sea.","Sang trọng",0
"topic vocab","magnificent (adjective)","Impressively beautiful, elaborate, or grand in appearance","The Louvre in Paris stands as a truly magnificent art museum.","tráng lệ",0
"topic vocab","mainly (adverb)","Primarily or for the most part","Gustavo mainly traveled to Europe to collect passport stamps.","chủ yếu",0
"topic vocab","maintain (verb)","To keep in the same state or condition","It was hard to maintain the audience’s focus after the mic failed.","duy trì",0
"topic vocab","mammoth (adjective)","Extremely large or massive","The First World Hotel in Malaysia is a mammoth structure.","khổng lồ",0
"topic vocab","manifest (adjective)","Clearly visible or obvious to the eye or mind","Her sadness was manifest in her expression.","hiển nhiên",0
"topic vocab","manipulate (verb) 2","To skillfully control or influence something or someone","He manipulated the situation to his advantage.","thao túng",0
"topic vocab","market (verb)","To promote or sell a product or service","The team is trying to market the new phone to teens.","tiếp thị",0
"topic vocab","metamorphosis (noun)","A complete change in form, character, or structure","The butterfly’s metamorphosis is a remarkable sight.","sự biến đổi",0
"topic vocab","migrate (verb) 2","To move from one place to another, often seasonally","Birds migrate south in the winter months.","di cư",0
"topic vocab","minimize (verb)","To reduce something to the smallest possible amount","We aim to minimize damage to the environment.","giảm thiểu",0
"topic vocab","mourn (verb)","To feel or express deep sorrow for someone’s death","Many gathered to mourn the loss of the hero.","than khóc",0
"topic vocab","myriad (noun)","A countless or extremely large number","A myriad of stars twinkled in the night sky.","vô số",0
"topic vocab","narrative (adjective)","Related to storytelling or narration","The novel uses a strong narrative structure.","có tính kể chuyện",0
"topic vocab","native (adjective)","Belonging to a place by birth or origin","She’s a native Spanish speaker.","bản địa",0
"topic vocab","nimble (adjective)","Quick and light in movement or thought","His nimble hands fixed the watch in minutes.","nhanh nhẹn",0
"topic vocab","notable (adjective)","Worthy of attention or notice","She won a notable science prize.","đáng chú ý",0
"topic vocab","notion (noun)","An idea, belief, or opinion","He had no notion what she meant.","ý niệm",0
"topic vocab","novel (adjective)","New or unusual in an interesting way","Their novel teaching method gained popularity.","mới lạ",0
"topic vocab","object (verb)","To express disapproval or opposition","They strongly objected to the new law.","phản đối",0
"topic vocab","oblige (verb)","To require someone to do something by law or rule","The rules oblige students to wear uniforms.","bắt buộc",0
"topic vocab","obliterate (verb)","To destroy something completely","The building was obliterated in the explosion.","xóa sổ",0
"topic vocab","obscure (adjective)","Difficult to understand or hidden from view","The book is filled with obscure references.","mơ hồ",0
"topic vocab","obsolete (adjective) 2","Outdated or no longer used","CDs have become obsolete in the streaming era.","lỗi thời",0
"topic vocab","obstacle (noun)","Something that blocks or hinders progress","Lack of funds is a major obstacle.","trở ngại",0
"topic vocab","offset (verb)","To counterbalance or compensate for something","The cost was offset by a tax rebate.","bù lại",0
"topic vocab","onset (noun)","The beginning or start of something","The early onset of winter caught everyone by surprise.","sự bắt đầu",0
"topic vocab","operation (noun)","An organized action or process; a mission or surgical procedure","The rescue operation lasted several hours.","hoạt động",0
"topic vocab","ordinary (adjective)","Common or normal; not special","It felt like just another ordinary Monday.","bình thường",0
"topic vocab","outdo (verb)","To perform better than someone else","She outdid her rivals in the final round.","vượt trội",0
"topic vocab","outsource (verb) 2","To assign work to a third-party provider","They outsourced their IT support to reduce costs.","thuê ngoài",0
"topic vocab","outweigh (verb)","To be more important or significant than something else","The benefits clearly outweigh the risks.","nhiều hơn",0
"topic vocab","overcome (verb)","To successfully deal with or defeat something","He overcame every obstacle in his path.","vượt qua",0
"topic vocab","overwhelm (verb)","To affect strongly or overpower emotionally or physically","She was overwhelmed with gratitude.","áp đảo",0
"topic vocab","pace (noun)","The speed or rate of movement or progress","The pace of life is faster in big cities.","tốc độ",0
"topic vocab","paradox (noun)","A situation or statement that seems contradictory but may be true","It’s a paradox that exercise can be exhausting but also energizing.","nghịch lý",0
"topic vocab","parity (noun)","Equality or equivalence in status or amount","Gender parity in leadership is still lacking.","sự ngang bằng",0
"topic vocab","partial (adjective)","Not complete; only a part of something","We have only partial results at this point.","một phần",0
"topic vocab","peak (noun)","The highest or most intense point","Tourism reaches its peak during the summer.","đỉnh cao",0
"topic vocab","perception (noun)","The way something is understood or interpreted","Public perception of the event varied widely.","sự nhận thức",0
"topic vocab","periodic (adjective)","Happening at regular intervals","Periodic inspections ensure safety standards are met.","định kỳ",0
"topic vocab","permanent (adjective)","Lasting or expected to last indefinitely","He found a permanent job in the city.","vĩnh viễn",0
"topic vocab","persist (verb)","To continue steadily in a course of action despite difficulty","If you persist, success will come.","kiên trì",0
"topic vocab","phase (noun)","A distinct stage in a process of development","They entered the final phase of negotiations.","giai đoạn",0
"topic vocab","precede (verb)","To come before something in time or order","A short video will precede the documentary.","đi trước",0
"topic vocab","preserve (verb)","To maintain or protect from harm or decay","We work to preserve the natural landscape.","bảo tồn",0
"topic vocab","prohibit (verb) 2","To formally forbid by law or rule","The law prohibits alcohol sales to minors.","cấm",0
"topic vocab","prominent (adjective)","Well-known or easily noticed","She is a prominent leader in education reform.","nổi bật",0
"topic vocab","protest (verb)","To express opposition through actions or words","Citizens protested against rising fuel prices.","phản đối",0
"topic vocab","purpose (noun)","The reason something is done or created","His purpose is to inspire young artists.","mục đích",0
"topic vocab","questionable (adjective)","Doubtful or open to suspicion","His decision-making has been questionable lately.","đáng ngờ",0
"topic vocab","radical (adjective)","Involving major or fundamental change","The committee proposed radical reforms to the school curriculum.","căn bản",0
"topic vocab","ramification (noun)","A consequence or result of an action","They considered the legal ramifications of the merger.","hệ quả",0
"topic vocab","random (adjective)","Happening without method or pattern","The winners were chosen at random.","ngẫu nhiên",0
"topic vocab","range (noun)","The span or extent of something","The restaurant offers a wide range of dishes.","phạm vi",0
"topic vocab","readily","Without hesitation or delay","He readily accepted the job offer.","sẵn sàng",0
"topic vocab","reciprocal","Mutual; shared by both sides","They have a reciprocal friendship based on trust.","tương hỗ",0
"topic vocab","recognition","The act of identifying or acknowledging something","She received recognition for her contributions to the team.","sự công nhận",0
"topic vocab","record","To capture or document something that happened","He used his phone to record the meeting.","ghi lại",0
"topic vocab","recruit","To find and enlist new people for a role","The company needs to recruit more developers.","tuyển dụng",0
"topic vocab","recur","To happen repeatedly or again","Headaches may recur if you don’t rest enough.","tái diễn",0
"topic vocab","refine","To improve or purify something","The chef refined the recipe with better spices.","tinh chỉnh",0
"topic vocab","refute","To disprove or challenge something as false","She refuted the allegations with clear evidence.","bác bỏ",0
"topic vocab","relatively","To a certain extent or in comparison","The test was relatively easy compared to last year.","tương đối",0
"topic vocab","release","To set free or let go of something","The bird was released into the wild.","thả",0
"topic vocab","relevant","Closely connected or applicable to the topic","Please provide relevant examples for your argument.","liên quan",0
"topic vocab","replenish","To refill or restore something","They replenished the food supply for the camp.","bổ sung",0
"topic vocab","representative","Typical of a group; acting on behalf of others","The painting is representative of her early work.","tiêu biểu",0
"topic vocab","reproduce","To make a copy or replicate something","The artist reproduced the painting for the gallery.","tái tạo",0
"topic vocab","resilient","Able to recover quickly from setbacks","Children are often more resilient than we think.","kiên cường",0
"topic vocab","restrict","To confine or place limits on something","They restricted access to authorized personnel only.","hạn chế",0
"topic vocab","rigorous","Strict or harsh in approach or conditions","The training program is extremely rigorous.","nghiêm ngặt",0
"topic vocab","rue","To feel regret or sorrow for something","She will rue the day she made that choice.","hối tiếc",0
"topic vocab","sacred","Regarded with deep respect or religious importance","This forest is sacred to the local tribe.","thiêng liêng",0
"topic vocab","sallow","Having a pale, yellowish skin tone","He looked tired and had a sallow complexion.","vàng vọt",0
"topic vocab","sanction","To officially approve or authorize something","The board sanctioned the new project unanimously.","phê chuẩn",0
"topic vocab","satellite","An object that orbits around a larger one, such as a moon or artificial device","Modern phones use satellite signals for navigation.","vệ tinh",0
"topic vocab","scarce","In limited supply; hard to find","Fresh water is becoming increasingly scarce in some regions.","khan hiếm",0
"topic vocab","scrutinize","To examine carefully in detail","They scrutinized the document for any errors.","xem xét kỹ lưỡng",0
"topic vocab","seek","To try to locate or pursue something","They are seeking new opportunities abroad.","tìm kiếm",0
"topic vocab","sequence","A particular order in which things follow","She forgot the correct sequence of steps in the experiment.","chuỗi",0
"topic vocab","shallow","Lacking depth or seriousness","The conversation was too shallow for such a serious topic.","nông cạn",0
"topic vocab","simultaneously","At the same time","The cameras recorded the scene simultaneously from different angles.","đồng thời",0
"topic vocab","sinister","Suggesting evil or harm","There was a sinister tone in his voice.","độc ác",0
"topic vocab","soul","The essential or spiritual part of a person or thing","She poured her soul into the music.","linh hồn",0
"topic vocab","sovereign","Independent; having full power","Each state remained a sovereign entity.","có chủ quyền",0
"topic vocab","sporadic","Happening irregularly or infrequently","The city experienced sporadic power outages last week.","rời rạc",0
"topic vocab","spurn","To reject with disdain","He spurned the offer without a second thought.","hắt hủi",0
"topic vocab","stress","To emphasize or highlight; to feel pressure","The doctor stressed the importance of sleep.","nhấn mạnh",0
"topic vocab","stoic","Calm and unaffected by pain or emotion","She remained stoic despite the sad news.","bình thản",0
"topic vocab","strictly","In a firm or rigid way","The rules must be strictly followed.","nghiêm ngặt",0
"topic vocab","stupendous","Extremely impressive or great in scale","They achieved a stupendous victory.","to lớn",0
"topic vocab","subsidize","To support financially, usually by a government","Farmers are often subsidized to grow staple crops.","trợ cấp",0
"topic vocab","substantiate","To prove something with evidence","He couldn’t substantiate his claims in court.","chứng minh",0
"topic vocab","subtle","Not obvious or easy to notice","There was a subtle change in his tone.","tinh tế",0
"topic vocab","suitable","Right or appropriate for a purpose","We haven’t found a suitable venue yet.","phù hợp",0
"topic vocab","supine","Lying on the back facing upward","He lay supine under the clear sky.","nằm ngửa",0
"topic vocab","superfluous","More than what is needed; unnecessary","Delete any superfluous details from your report.","thừa thãi",0
"topic vocab","sustainable","Able to be maintained over time without harm","The building uses sustainable materials and practices.","bền vững",0
"topic vocab","tangible","Real or touchable; perceptible by touch","They needed tangible proof of progress.","hữu hình",0
"topic vocab","task","A piece of work to be completed","He finished the assigned task quickly.","nhiệm vụ",0
"topic vocab","taunt","To mock or provoke in a scornful way","The bullies taunted him for forgetting his lunch.","chế giễu",0
"topic vocab","temporal","Related to worldly affairs or limited time","He focused only on temporal matters, not spiritual ones.","thuộc về thời gian",0
"topic vocab","tenacious","Determined and persistent in achieving goals","She was tenacious in defending her ideas.","kiên trì",0
"topic vocab","tendency","An inclination toward a certain type of behavior","He has a tendency to be late.","xu hướng",0
"topic vocab","tenet","A fundamental belief or principle","Freedom of speech is a central tenet of democracy.","giáo lý",0
"topic vocab","territory","A defined area under control of a group or authority","Each team defended its territory fiercely.","lãnh thổ",0
"topic vocab","thoroughly","Completely and with great attention to detail","She cleaned the room thoroughly before the guests arrived.","một cách kỹ lưỡng",0
"topic vocab","tranquil","Peaceful and quiet; free from disturbance","They spent a tranquil evening by the lake.","thanh bình",0
"topic vocab","transformation","A major change in form, appearance, or character","The project led to a dramatic transformation of the neighborhood.","sự biến đổi",0
"topic vocab","trangress (verb)","To violate a rule, law, or moral boundary","He trangressed the company’s code of conduct.","vi phạm",0
"topic vocab","transition (noun)","The process of shifting from one state or condition to another","She helped him make the transition to college life.","sự chuyển đổi",0
"topic vocab","transient","Lasting for a short time; temporary","They stayed in a transient hotel for one night.","ngắn ngủi",0
"topic vocab","trivial (adjective)","Of little importance or value","He ignored the trivial complaints.","tầm thường",0
"topic vocab","ubiquitous (adjective) 2","Found everywhere; widespread","Smartphones have become ubiquitous in modern life.","phổ biến",0
"topic vocab","ultimately (adverb)","In the end; eventually","Ultimately, she decided to move abroad.","cuối cùng",0
"topic vocab","ultimatum (noun)","A final demand or condition with consequences for rejection","They issued an ultimatum to meet the deadline or lose the deal.","tối hậu thư",0
"topic vocab","unbecoming (adjective)","Not appropriate or flattering","His rude remarks were unbecoming of a leader.","không phù hợp",0
"topic vocab","uncanny (adjective)","Strangely unusual or unsettling","She had an uncanny ability to predict events.","kỳ lạ",0
"topic vocab","unconditional (adjective)","Not limited by conditions; absolute","He offered his unconditional support.","vô điều kiện",0
"topic vocab","uncouth (adjective)","Lacking good manners or refinement","His uncouth behavior embarrassed everyone at the dinner.","thô lỗ",0
"topic vocab","underestimate (noun)","To judge something as less important or smaller than it is","She underestimated how long the hike would take.","đánh giá thấp",0
"topic vocab","unequivocal (adjective)","Clear and unambiguous","His response was an unequivocal yes.","rõ ràng",0
"topic vocab","uniform (adjective)","Always the same in form or character","They applied a uniform rule across all departments.","đồng đều",0
"topic vocab","unique (adjective)","One of a kind; unlike anything else","Her design was truly unique.","độc đáo",0
"topic vocab","unison (noun)","Simultaneous action or agreement","They all sang in unison.","đồng thanh",0
"topic vocab","unwittingly (adverb)","Without being aware; unintentionally","She had unwittingly supported the people she disliked most.","một cách vô tình",0
"topic vocab","upset (adjective)","Feeling unhappy or distressed","Her kids often get upset over small disagreements at school.","buồn bực",0
"topic vocab","urge (verb)","To encourage or push someone strongly","The coach urged the team to keep trying until the end.","thúc giục",0
"topic vocab","utilize (verb)","To make practical use of something","They utilized the waterfall to generate electricity.","tận dụng",0
"topic vocab","vagrancy (noun)","The act of roaming without a home or job","Vagrancy is discouraged by most city ordinances.","tình trạng lang thang",0
"topic vocab","vanish (verb)","To disappear suddenly or completely","The fog vanished once the sun appeared.","biến mất",0
"topic vocab","vanquish (verb)","To defeat thoroughly in battle or conflict","They vanquished their opponents in the final round.","chinh phục",0
"topic vocab","variable (noun)","A factor that can change in a situation","Temperature is a key variable in this experiment.","biến số",0
"topic vocab","variety (noun)","A number of different kinds","The buffet included a variety of dishes.","đa dạng",0
"topic vocab","veneer (noun)","A thin surface layer that hides the true nature","He had a veneer of confidence that masked his nervousness.","lớp bề mặt",0
"topic vocab","versatile (adjective)","Able to adapt to many functions or activities","She’s a versatile performer who sings and acts equally well.","đa năng",0
"topic vocab","victim (noun)","A person harmed by a situation or event","The victim was taken to the hospital immediately.","nạn nhân",0
"topic vocab","vindication (noun)","Proof that someone was right or justified","He found vindication when his critics admitted they were wrong.","sự minh oan",0
"topic vocab","voracious (adjective)","Having a huge appetite or eagerness","He has a voracious appetite for science fiction novels.","ngấu nghiến",0
